timestamp,header_stamp,rudder,propeller,covariance
1738937773984090679,1738937773.9831057,-15.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937774490992454,1738937774.4895387,-15.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937774795992459,1738937774.7947638,-12.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937775266189854,1738937775.2649739,-10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937775588712026,1738937775.5875638,-7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937776095600320,1738937776.0944757,-7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937776183719637,1738937776.1826398,-5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937776690867383,1738937776.6896913,-5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937777199271079,1738937777.1966426,-5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937777301273394,1738937777.3003025,-2.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937777807654875,1738937777.8065388,-2.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937778315318212,1738937778.313416,-2.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937778820965482,1738937778.819857,-2.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937778997336776,1738937778.9962945,0.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937779350901369,1738937779.3497415,2.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937779628437846,1738937779.627414,5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937780134997468,1738937780.1338358,5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937780369132371,1738937780.3679678,7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937780876503460,1738937780.875034,7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937781184236151,1738937781.1830318,10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937781444096874,1738937781.4426053,12.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937781950993631,1738937781.949703,12.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937782458572323,1738937782.4574673,12.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937782858523407,1738937782.8573873,15.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937783365168970,1738937783.3641708,15.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937783871832662,1738937783.8705833,15.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937784378501964,1738937784.3775392,15.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937784884869335,1738937784.8837376,15.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937785391631282,1738937785.390522,15.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937785899948814,1738937785.8987415,15.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937786406647579,1738937786.4055684,15.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937786913079835,1738937786.91212,15.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937786935318814,1738937786.9342248,12.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937787185740804,1738937787.18466,10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937787390858112,1738937787.3898005,7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937787624017591,1738937787.6228864,5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937787846303136,1738937787.8452005,2.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937788088295372,1738937788.0872061,0.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937788339410853,1738937788.337443,-2.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937788630405068,1738937788.6292515,-5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937789137831507,1738937789.1366763,-5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937789235556457,1738937789.2339315,-7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937789483533804,1738937789.482386,-10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937789990271956,1738937789.989247,-10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937790497283134,1738937790.4961343,-10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937790860657556,1738937790.8594258,-7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937791368027145,1738937791.3670292,-7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937791849381260,1738937791.8483052,-10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937792139554877,1738937792.1383772,-12.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937792646154072,1738937792.6452537,-12.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937793152466629,1738937793.1515372,-12.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937793658541493,1738937793.6572883,-12.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937793866748844,1738937793.8656754,-10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937794099990838,1738937794.0988762,-7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937794342392835,1738937794.3413427,-5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
